Date,Time,Session duration,Entry URL,Exit URL,Referrer:,Clarity user ID,Browser,Device,OS,Country,Page count,Session clicks,Favorite,Recording link
11/12/2024,9:28 PM,1:30,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR0_FzdjzY-EJairLyYi5UeuMs7LJa13U7Tw-UMu2oYM4bMrjLEfPWqWDKY_aem_99adKR-issw3K2LdW1pfJA,https://hoperiddle.s2-tastewp.com/about/,,dv8lq0,Unknown,Mobile,iOS,Romania,2,15,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/dv8lq0/1k5cqr0/?ss=1731439689000&sd=90
11/12/2024,9:26 PM,0:38,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTAAAR2P3_btxuWXDYT4r6S2A8ghKlJSU_nb-k3b88Qc8jpo78-AOp9AcBmzFPM_aem_uqb17Qsua0FnWXgoWGjOww,https://hoperiddle.s2-tastewp.com/,,1pgv50e,Unknown,Mobile,iOS,Romania,3,4,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/1pgv50e/1wtnhtq/?ss=1731439566000&sd=38
11/12/2024,9:24 PM,0:43,https://hoperiddle.s2-tastewp.com/2024/11/11/homemade-pumpkin-spice-latte/,https://hoperiddle.s2-tastewp.com/category/healthy/,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR0_FzdjzY-EJairLyYi5UeuMs7LJa13U7Tw-UMu2oYM4bMrjLEfPWqWDKY_aem_99adKR-issw3K2LdW1pfJA,54cnf6,Unknown,Mobile,iOS,Romania,4,2,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/54cnf6/91html/?ss=1731439440000&sd=43
11/12/2024,8:43 PM,0:35,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR1lJqussCQu8A5lEAcedpwoneqk5l7oKxkEHNMUfZSGU-EtaAcnRjxI3K8_aem_UKfCL7KeGBAUHyw_TBxPPQ,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR1lJqussCQu8A5lEAcedpwoneqk5l7oKxkEHNMUfZSGU-EtaAcnRjxI3K8_aem_UKfCL7KeGBAUHyw_TBxPPQ,http://m.facebook.com/,1jnbhys,Unknown,Mobile,iOS,Austria,1,0,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/1jnbhys/1h525s7/?ss=1731437013000&sd=35
11/12/2024,8:35 PM,0:15,https://hoperiddle.s2-tastewp.com/,https://hoperiddle.s2-tastewp.com/,https://hoperiddle.s2-tastewp.com/recipes/,1ij6mn1,MobileSafari,Mobile,iOS,Romania,1,0,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/1ij6mn1/73dlcj/?ss=1731436546000&sd=15
11/12/2024,8:34 PM,22:40,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR3B-EiopriyuqolUVQn1EJAC2RAz_ZGEzoMieQc_6czhOSEMtTGw-_Q1eU_aem_lgpcmWUASdjBLIeKY9GQgQ,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR3B-EiopriyuqolUVQn1EJAC2RAz_ZGEzoMieQc_6czhOSEMtTGw-_Q1eU_aem_lgpcmWUASdjBLIeKY9GQgQ,http://m.facebook.com/,ibosf1,Unknown,Mobile,iOS,Romania,1,0,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/ibosf1/1hwjp7i/?ss=1731436453000&sd=1360
11/12/2024,8:27 PM,0:07,https://hoperiddle.s2-tastewp.com/?fbclid=IwY2xjawGgfXpleHRuA2FlbQIxMAABHY_f9u3G5ZcNhPivpLYDyCEqUlJT-dv6TdvzxBzyOmjvz4A6n0BwGbMU8w_aem_uqb17Qsua0FnWXgoWGjOww,https://hoperiddle.s2-tastewp.com/?fbclid=IwY2xjawGgfXpleHRuA2FlbQIxMAABHY_f9u3G5ZcNhPivpLYDyCEqUlJT-dv6TdvzxBzyOmjvz4A6n0BwGbMU8w_aem_uqb17Qsua0FnWXgoWGjOww,https://l.facebook.com/,f3tzop,Unknown,Mobile,iOS,Romania,1,0,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/f3tzop/leyjoh/?ss=1731436076000&sd=7
11/12/2024,8:23 PM,0:21,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR1NtGwzFtMjKFSu5OMyta6JR2yMOrHSbqKhASjGWq0XBRhGBtFon_ZSY0U_aem_yoiuII53vluWqHOIIuH8lQ,https://hoperiddle.s2-tastewp.com/category/breakfast/,http://m.facebook.com/,fyhxa7,Unknown,Mobile,iOS,Romania,2,1,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/fyhxa7/lrtpyp/?ss=1731435789000&sd=21
11/12/2024,8:14 PM,0:27,https://hoperiddle.s2-tastewp.com/?fbclid=IwY2xjawGgel9leHRuA2FlbQIxMQABHQULSEKUTPqcxiLd77qQ2WpjHGVleGZKCuSIpLahrlyG3SAECLNgIUx6PA_aem_c6vIQWlGhF4XpCujlco8Og,https://hoperiddle.s2-tastewp.com/?fbclid=IwY2xjawGgel9leHRuA2FlbQIxMQABHQULSEKUTPqcxiLd77qQ2WpjHGVleGZKCuSIpLahrlyG3SAECLNgIUx6PA_aem_c6vIQWlGhF4XpCujlco8Og,https://lm.facebook.com/,llxnl6,Unknown,Mobile,Android,Romania,1,0,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/llxnl6/1yic0cn/?ss=1731435282000&sd=27
11/12/2024,8:11 PM,0:24,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR3RB7CdMJ4e2_zAWmyROlkYrLwNsAazXRw7O9PqRNChH5QVPm2tSbhq8XY_aem_LhJuUkv4jhcFnA-XBBDydA,https://hoperiddle.s2-tastewp.com/?fbclid=IwZXh0bgNhZW0CMTEAAR2XEu9-zu8_2qDwukW85LVNEUnrDS2abp-_xp3TwUFBV-9BQJbfaz-Vmdo_aem_qV2OobPox7C0jPrJt6DyRw,http://m.facebook.com/,19furi5,Unknown,Mobile,iOS,Romania,2,3,FALSE,https://clarity.microsoft.com/player/ovyg4f84dj/19furi5/togrlz/?ss=1731435102000&sd=24
